TI-Beam01,,,,,,,
,,Name,Type,Description (Value),Unit,IFC 4.3,Documentation
Beam-BTB75-2A,,,Object,BTB75-2A,,IfcBeam.PredefinedType.BEAM,
,Pset_BeamCommon,,Group,.,,Pset_BeamCommon,Properties common to the definition of all occurrence and type objects of beam.
,,FireRating,Property,.,Label,Pset_BeamCommon.FireRating,Fire rating for this object. It is given according to the national fire safety code or regulation.
,,IsExternal,Property,TRUE,Boolean,Pset_BeamCommon.IsExternal,Indication whether the element is designed for use in the exterior (TRUE) or not (FALSE). If (TRUE) it is an external element and faces the outside of the building.
,,LoadBearing,Property,TRUE,Boolean,Pset_BeamCommon.LoadBearing,Indicates whether the object is intended to carry loads (TRUE) or not (FALSE).
,,Roll,Property,.,Plane Angle,Pset_BeamCommon.Roll,Rotation against the longitudinal axis - relative to the global  X direction for all columns that are vertical in regard to the global coordinate system (Profile direction equals global X is Roll = 0.). For all non-vertical columns the following applies:
,,Slope,Property,0,Plane Angle,Pset_BeamCommon.Slope,"Sloping angle of the object  - relative to horizontal (0.0 degrees). 
Actual maximum slope for the passageway according to the current design.
The shape information is provided in addition to the shape representation and the geometric parameters used with"
,,Span,Property,75.0 ft,"Length (positive, >0)",Pset_BeamCommon.Span,"Clear span for this object.

The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached"
,,Status,Property,NEW,Label,Pset_BeamCommon.Status,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""T"
,Pset_ConcreteElementGeneral,,Group,.,,Pset_ConcreteElementGeneral,"General properties common to different types of concrete elements, including reinforced concrete elements. The property set can be used by a number of subtypes of IfcBuildingElement, indicated that such element is designed or constructed using a concrete"
,,ConcreteCover,Property,1.5 in,"Length (positive, >0)",Pset_ConcreteElementGeneral.ConcreteCover,The protective concrete cover at the reinforcing bars according to local building regulations.
,,ConcreteCoverAtLinks,Property,1.5 in,"Length (positive, >0)",Pset_ConcreteElementGeneral.ConcreteCoverAtLinks,The protective concrete cover at the reinforcement links according to local building regulations.
,,ConcreteCoverAtMainBars,Property,1.5 in,"Length (positive, >0)",Pset_ConcreteElementGeneral.ConcreteCoverAtMainBars,The protective concrete cover at the main reinforcing bars according to local building regulations.
,,ConstructionMethod,Property,PRECAST,Label,Pset_ConcreteElementGeneral.ConstructionMethod,Designator for whether the concrete element is constructed on site or prefabricated. Allowed values are: 'In-Situ' vs 'Precast'.
,,ConstructionToleranceClass,Property,.,Label,Pset_ConcreteElementGeneral.ConstructionToleranceClass,Classification designation of the on-site construction tolerances according to local standards.
,,DimensionalAccuracyClass,Property,.,Label,Pset_ConcreteElementGeneral.DimensionalAccuracyClass,Classification designation of the dimensional accuracy requirement according to local standards.
,,ExposureClass,Property,Class 2,Label,Pset_ConcreteElementGeneral.ExposureClass,"Classification of exposure to environmental conditions, usually specified in accordance with the concrete design code which is applied in the project."
,,ReinforcementAreaRatio,Property,_derived_,Area Density,Pset_ConcreteElementGeneral.ReinforcementAreaRatio,The required ratio of the effective area of the reinforcement to the effective area of the concrete At any section of a reinforced concrete structural element.
,,ReinforcementStrengthClass,Property,AASHTO LRFD 2007 Grade 60,Label,Pset_ConcreteElementGeneral.ReinforcementStrengthClass,Classification of the reinforcement strength in accordance with the concrete design code which is applied in the project. The reinforcing strength class often combines strength and ductility.
,,ReinforcementVolumeRatio,Property,_derived_,Mass Density,Pset_ConcreteElementGeneral.ReinforcementVolumeRatio,The required ratio of the effective mass of the reinforcement to the effective volume of the concrete of a reinforced concrete structural element.
,,StrengthClass,Property,High Performance Concrete (HPC),Label,Pset_ConcreteElementGeneral.StrengthClass,Classification of the concrete strength in accordance with the concrete design code which is applied in the project.
,,StructuralClass,Property,AASHTO LRFD 2007,Label,Pset_ConcreteElementGeneral.StructuralClass,The structural class defined for the concrete structure (e.g. '1').
,Pset_PrecastConcreteElementGeneral,,Group,-.,,Pset_PrecastConcreteElementGeneral,Production and manufacturing related properties common to different types of precast concrete elements. The Pset can be used by a number of subtypes of IfcBuildingElement. If the precast concrete element is a sandwich wall panel each structural layer or s
,,BatterAtEnd,Property,.,Plane Angle,Pset_PrecastConcreteElementGeneral.BatterAtEnd,"The angle, in radians, by which the formwork at the ending face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric pr"
,,BatterAtStart,Property,.,Plane Angle,Pset_PrecastConcreteElementGeneral.BatterAtStart,"The angle, in radians, by which the formwork at the starting face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric"
,,CamberAtMidspan,Property,2.92 in,Ratio,Pset_PrecastConcreteElementGeneral.CamberAtMidspan,"The camber deflection, measured from the midpoint of a cambered face of a piece to the midpoint of the chord joining the ends of the same face, as shown in the figure below, divided by the original (nominal) straight length of the face of the piece."
,,CornerChamfer,Property,2 in,"Length (positive, >0)",Pset_PrecastConcreteElementGeneral.CornerChamfer,The chamfer in the corners of the precast element. The chamfer is presumed to be equal in both directions.
,,DesignLocationNumber,Property,"Span 2, Beam Line A",Label,Pset_PrecastConcreteElementGeneral.DesignLocationNumber,"Defines a unique location within a structure, the ‘slot’ for which the piece was designed."
,,FormStrippingStrength,Property,5.5 ksi,Pressure,Pset_PrecastConcreteElementGeneral.FormStrippingStrength,The minimum required compressive strength of the concrete at form stripping time.
,,HollowCorePlugging,Property,_nil_,Label,Pset_PrecastConcreteElementGeneral.HollowCorePlugging,"A descriptive label for how the hollow core ends are treated: they may be left open, closed with a plug, or sealed with cast concrete. Values would be, for example: 'Unplugged', 'Plugged', 'SealedWithConcrete'. This property applies to  hollow core slabs"
,,InitialTension,Property,1106 kips,Pressure,Pset_PrecastConcreteElementGeneral.InitialTension,The initial stress of the tendon. This property applies to prestressed concrete elements only.
,,LiftingStrength,Property,6.5 ksi,Pressure,Pset_PrecastConcreteElementGeneral.LiftingStrength,The minimum required compressive strength of the concrete when the concrete element is lifted.
,,ManufacturingToleranceClass,Property,_nil_,Label,Pset_PrecastConcreteElementGeneral.ManufacturingToleranceClass,Classification designation of the manufacturing tolerances according to local standards.
,,MinimumAllowableSupportLength,Property,_nil_,"Length (positive, >0)",Pset_PrecastConcreteElementGeneral.MinimumAllowableSupportLength,The minimum allowable support length.
,,PieceMark,Property,BTB75,Label,Pset_PrecastConcreteElementGeneral.PieceMark,"Defines a unique piece for production purposes. All pieces with the same piece mark value are identical and interchangeable. The piece mark may be composed of sub-parts that have specific locally defined meaning (e.g. B-1A may denote a beam, of generic ty"
,,ReleaseStrength,Property,5.5 ksi,Pressure,Pset_PrecastConcreteElementGeneral.ReleaseStrength,The minimum required compressive strength of the concrete when the tendon stress is released. This property applies to prestressed concrete elements only.
,,Shortening,Property,-.,Ratio,Pset_PrecastConcreteElementGeneral.Shortening,The ratio of the distance by which a precast piece is shortened after release from its form (due to compression induced by prestressing) to its original (nominal) length.
,,SupportDuringTransportDescription,Property,-.,Text,Pset_PrecastConcreteElementGeneral.SupportDuringTransportDescription,Textual description of how the concrete element is supported during transportation.
,,SupportDuringTransportDocReference,Property,-.,Label,Pset_PrecastConcreteElementGeneral.SupportDuringTransportDocReference,Reference to an external document defining how the concrete element is supported during transportation.
,,TendonRelaxation,Property,-.,"Ratio (positive, >0)",Pset_PrecastConcreteElementGeneral.TendonRelaxation,The maximum allowable relaxation of the tendon (usually expressed as %/1000 h).This property applies to prestressed concrete elements only.
,,TransportationStrength,Property,-.,Pressure,Pset_PrecastConcreteElementGeneral.TransportationStrength,The minimum required compressive strength of the concrete required for transportation.
,,Twisting,Property,0,Plane Angle,Pset_PrecastConcreteElementGeneral.Twisting,"The angle, in radians, through which the end face of a precast piece is rotated with respect to its starting face, along its longitudinal axis, as a result of non-aligned supports. This measure is also termed the ‘warping’ angle."
,,TypeDesignation,Property,-.,Label,Pset_PrecastConcreteElementGeneral.TypeDesignation,"Type designator for the element. The content depends on local standards. Eg. 'Bull nose', 'Half batter', 'Dropper', 'Chamfer' etc"
,Qto_BeamBaseQuantities,,Group,-.,,Qto_BeamBaseQuantities,Base quantities that are common to the definition of all occurrences of beams.
,,CrossSectionArea,Property,_derived_,Label,Qto_BeamBaseQuantities.CrossSectionArea,"Area of the profile. For example measured in mm2. If given, the value of the cross section area shall be greater than zero."
,,GrossSurfaceArea,Property,_derived_,Label,Qto_BeamBaseQuantities.GrossSurfaceArea,"Total area of the footing, normally generated as perimeter \* length + 2 \* cross section area. It is the sum of OuterSurfaceArea + (2 x CrossSectionArea) and shall only be given, if the OuterSurfaceArea and CrossSectionArea cannot be established separate"
,,GrossVolume,Property,_derived_,Label,Qto_BeamBaseQuantities.GrossVolume,Sum of all gross volumes of spaces enclosed by the building storey. It includes the volumes of construction elements within the building storey. May be provided in addition to the quantities of the spaces and the construction elements assigend to the stor
,,GrossWeight,Property,_derived_ = 25.1 tons,Label,Qto_BeamBaseQuantities.GrossWeight,"Total gross weight of the footing without add-on parts, not taking into account possible processing features (cut-out's, etc.) or openings and recesses."
,,Length,Property,_derived_,Label,Qto_BeamBaseQuantities.Length,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided i"
,,NetSurfaceArea,Property,_derived_,Label,Qto_BeamBaseQuantities.NetSurfaceArea,"Net surface area of the column, normally generated as perimeter \* length + 2 \* cross section area taking into account possible processing features (cut-out's, etc.) or openings and recesses."
,,NetVolume,Property,_derived_,Label,Qto_BeamBaseQuantities.NetVolume,"Sum of all net volumes of spaces enclosed by the building storey. It iexcludes the volumes of construction elements within the building storey. May be provided in addition to the quantities of the spaces assigend to the storey. In case of inconsistencies,"
,,NetWeight,Property,_derived_,Label,Qto_BeamBaseQuantities.NetWeight,"Total net weight of the footing without add-on parts, taking into account possible processing features (cut-out's, etc.) or openings and recesses."
,,OuterSurfaceArea,Property,_derived_,Label,Qto_BeamBaseQuantities.OuterSurfaceArea,"Total area of the extruded surfaces of the footing (not taking into account the end cap areas), normally generated as perimeter \* length."
,CT for IfcElement,,Group,,,CT for IfcElement,
,,Body SurfaceModel Geometry,Property,_optional_,Label,CT for IfcElement.Body SurfaceModel Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement"
,,Body SweptSolid PolyCurve Geometry,Property,_preferred_,Label,CT for IfcElement.Body SweptSolid PolyCurve Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement"
,,Body Tessellation Geometry,Property,_optional_,Label,CT for IfcElement.Body Tessellation Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_Tessellation_Geometry/content.html
Applicable entity: IfcElement"
,CT for IfcProduct,,Group,,,CT for IfcProduct,
,,Product Local Placement,Property,"Local, 0,0,0",Label,CT for IfcProduct.Product Local Placement,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct"
,CT for IfcObject,,Group,,,CT for IfcObject,
,,Object Predefined Type,Property,BEAM,Label,CT for IfcObject.Object Predefined Type,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject"
,,Object Typing,Property,_not required_,Label,CT for IfcObject.Object Typing,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject"
,,Object User Identity,Property,BTB75-2A,Label,CT for IfcObject.Object User Identity,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject"
,Camber,,Group,,,ePset_Camber,
,,Camber Ordinate,Property,,Label,ePset_Camber.Camber Ordinate,
,,"Final Girder Vertical Alignment Over Bearings (Steel Dead Load, Total Dead Load)",Property,,Label,"ePset_Camber.Final Girder Vertical Alignment Over Bearings (Steel Dead Load, Total Dead Load)",
,,Spaces Per Span,Property,4,Label,ePset_Camber.Spaces Per Span,
,,Steel Dead Load Camber,Property,,Label,ePset_Camber.Steel Dead Load Camber,
,,Total Dead Load Camber,Property,,Label,ePset_Camber.Total Dead Load Camber,
,Conceptual Erection Sequence,,Group,,,ePset_Conceptual Erection Sequence,
,,Conceptual Erection Sequence,Property,,Label,ePset_Conceptual Erection Sequence.Conceptual Erection Sequence,
,Drip Groove,,Group,,,ePset_Drip Groove,
,,Soffit Drip Groove,Property,,Label,ePset_Drip Groove.Soffit Drip Groove,
,Flange Properties,,Group,,,ePset_Flange Properties,
,,Flange Charpy V-Notch (CVN) Testing Indicator,Property,,Label,ePset_Flange Properties.Flange Charpy V-Notch (CVN) Testing Indicator,
,,Flange Fracture Critical Material Indicator,Property,,Label,ePset_Flange Properties.Flange Fracture Critical Material Indicator,
,,Flange Plate Length,Property,,Label,ePset_Flange Properties.Flange Plate Length,
,,Flange Plate Material,Property,,Label,ePset_Flange Properties.Flange Plate Material,
,,Flange Plate Thickness,Property,,Label,ePset_Flange Properties.Flange Plate Thickness,
,,Flange Plate Width,Property,,Label,ePset_Flange Properties.Flange Plate Width,
,,Splice Weld,Property,,Label,ePset_Flange Properties.Splice Weld,
,Girder Flare,,Group,,,ePset_Girder Flare,
,,Varying deph,Property,,Label,ePset_Girder Flare.Varying deph,
,Predefined Types,,Group,,,ePset_Predefined Types,
,,Box Girder,Property,,Label,ePset_Predefined Types.Box Girder,
,,Precast/Prestressed Concrete Girder,Property,,Label,ePset_Predefined Types.Precast/Prestressed Concrete Girder,
,,Steel Girder,Property,,Label,ePset_Predefined Types.Steel Girder,
,Properties,,Group,,,ePset_Properties,
,,Girder Cross-Section Type,Property,,Label,ePset_Properties.Girder Cross-Section Type,
,,Girder Length,Property,,Label,ePset_Properties.Girder Length,
,,Girder Line Number,Property,,Label,ePset_Properties.Girder Line Number,
,,Number of Girders,Property,,Label,ePset_Properties.Number of Girders,
,,Section Orientation,Property,,Label,ePset_Properties.Section Orientation,
,Spacing,,Group,,,ePset_Spacing,
,,Girder Spacing at End of Span Along Centerline Bearings,Property,,Label,ePset_Spacing.Girder Spacing at End of Span Along Centerline Bearings,
,,Girder Spacing at End of Span Perpendicular to Girder Layout Line.,Property,,Label,[MAPPING ERROR],
,,Girder Spacing at Start of Span Along Centerline Bearings,Property,,Label,ePset_Spacing.Girder Spacing at Start of Span Along Centerline Bearings,
,,Girder Spacing at Start of Span Perpendicular to Girder Layout Line.,Property,,Label,[MAPPING ERROR],
,,Spacing,Property,,Label,ePset_Spacing.Spacing,
,Tension Zone,,Group,,,ePset_Tension Zone,
,,Extension at End of Region,Property,,Label,ePset_Tension Zone.Extension at End of Region,
,,Extension at Start of Region,Property,,Label,ePset_Tension Zone.Extension at Start of Region,
,,Moment Region Type (Positive/Negative),Property,,Label,ePset_Tension Zone.Moment Region Type (Positive/Negative),
,Web Profile Properties,,Group,,,ePset_Web Profile Properties,
,,"Depth at Point (Start, End, Intermediate)",Property,,Label,"ePset_Web Profile Properties.Depth at Point (Start, End, Intermediate)",
,,"Increment Units (e.g., tenth points)",Property,,Label,[MAPPING ERROR],
,,"Web Profile Type (Constant, Linear, Variation, Circular, Parabolic)",Property,,Label,"ePset_Web Profile Properties.Web Profile Type (Constant, Linear, Variation, Circular, Parabolic)",
,Web Properties,,Group,,,ePset_Web Properties,
,,Splice Weld,Property,,Label,ePset_Web Properties.SplicSplice Weld,
,,Web Charpy V-Notch (CVN) Testing Indicator,Property,,Label,ePset_Web Properties.Web Charpy V-Notch (CVN) Testing Indicator,
,,Web Fracture Critical Material Indicator,Property,,Label,ePset_Web Properties.Web Fracture Critical Material Indicator,
,,Web Plate Length,Property,,Label,ePset_Web Properties.Web Plate Length,
,,Web Plate Material,Property,,Label,ePset_Web Properties.Web Plate Material,
,,Web Plate Thickness,Property,,Label,ePset_Web Properties.Web Plate Thickness,
Tendon-Top01 - Beam01,,,Object,,,IfcTendon,
,CT for IfcTendon,,Group,,,CT for IfcTendon,
,,Tendon Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Attributes/Object_Occurrence_Attributes/Element_Occurrence_Attributes/Tendon_Attributes/content.html
Applicable entity: IfcTendon",Label,CT for IfcTendon.Tendon Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Attributes/Object_Occurrence_Attributes/Element_Occurrence_Attributes/Tendon_Attributes/content.html
Applicable entity: IfcTendon"
,Qto_ReinforcingElementBaseQuantities,,Group,Base quantities that are common to the definition of all occurrences of reinforcement.,,Qto_ReinforcingElementBaseQuantities,Base quantities that are common to the definition of all occurrences of reinforcement.
,,Count,Property,Total count of reinforcing items.,Label,Qto_ReinforcingElementBaseQuantities.Count,Total count of reinforcing items.
,,Length,Property,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided in the attached property set, the geometric parameters take precedence.",Label,Qto_ReinforcingElementBaseQuantities.Length,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided i"
,,Weight,Property,The weight of the humidifier.,Label,Qto_ReinforcingElementBaseQuantities.Weight,The weight of the humidifier.
,Pset_ElementComponentCommon,,Group,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components).",,Pset_ElementComponentCommon,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components)."
,,CorrosionTreatment,Property,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing feature.,Label,Pset_ElementComponentCommon.CorrosionTreatment,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing featur
,,DeliveryType,Property,Determines how the accessory will be delivered to the site.,Label,Pset_ElementComponentCommon.DeliveryType,Determines how the accessory will be delivered to the site.
,,Status,Property,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""Temporary"" - element will exists only temporary (like a temporary support structure).",Label,Pset_ElementComponentCommon.Status,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""T"
,CT for IfcElement,,Group,,,CT for IfcElement,
,,Body AdvancedSweptSolid Geometry,Property,_optional_,Label,CT for IfcElement.Body AdvancedSweptSolid Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement"
,,Body SurfaceModel Geometry,Property,_optional_,Label,CT for IfcElement.Body SurfaceModel Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement"
,,Body SweptSolid PolyCurve Geometry,Property,_preferred_,Label,CT for IfcElement.Body SweptSolid PolyCurve Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement"
,CT for IfcProduct,,Group,,,CT for IfcProduct,
,,Mapped Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Mapped Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct"
,,Product Local Placement,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Product Local Placement,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct"
,CT for IfcObject,,Group,,,CT for IfcObject,
,,Object Predefined Type,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Predefined Type,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject"
,,Object Typing,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Typing,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject"
,,Object User Identity,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object User Identity,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject"
,,Property Sets for Objects,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets for Objects,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject"
,,Property Sets with Override,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets with Override,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject"
,,Quantity Sets,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Quantity Sets,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject"
,CT for IfcObjectDefinition,,Group,,,CT for IfcObjectDefinition,
